,address,coordinates
6059,"город Москва, Ленинский проспект, дом 111/2",37.508661 55.662222
6063,"город Москва, Профсоюзная улица, дом 74",37.544566 55.662557
6069,"город Москва, Профсоюзная улица, дом 126, корпус 1",37.518587 55.632672
6070,"город Москва, Профсоюзная улица, дом 126, корпус 1",37.518587 55.632672
6071,"город Москва, Профсоюзная улица, дом 126, корпус 3",37.516844 55.63037
6072,"город Москва, Профсоюзная улица, дом 126, корпус 3",37.516844 55.63037
6073,"город Москва, Профсоюзная улица, дом 126, корпус 3",37.516844 55.63037
6074,"город Москва, Профсоюзная улица, дом 126, корпус 3",37.516844 55.63037
6075,"город Москва, Профсоюзная улица, дом 126, корпус 3",37.516844 55.63037
6082,"город Москва, Ленинский проспект, дом 32А",37.577561 55.71057
6085,"город Москва, Профсоюзная улица, дом 62, корпус 5",37.547109 55.668615
6097,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6098,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
6099,"город Москва, Профсоюзная улица, дом 56",37.55248 55.670021
